Zipcode,Population,Number of Households,Household Income,Poverty Count,Poverty Rate,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household
00646,37095.0,11652.0,30573.0,12268.0,33.07184256638361,11594.0,0.9950223137658771,10075.0,0.8646584277377274
00647,5809.0,1919.0,14223.0,3551.0,61.12928214839043,1125.0,0.5862428348097968,1100.0,0.5732152162584679
00650,14534.0,5136.0,19764.0,7562.0,52.029723407183155,3912.0,0.7616822429906542,3480.0,0.677570093457944
00652,3565.0,1319.0,21987.0,1452.0,40.72931276297335,923.0,0.6997725549658832,830.0,0.6292645943896892
00653,10484.0,3596.0,12072.0,6766.0,64.536436474628,1998.0,0.5556173526140156,1885.0,0.5241935483870968
00656,18485.0,6502.0,17355.0,10110.0,54.69299431971869,4708.0,0.7240848969547832,4420.0,0.6797908335896647
00659,39950.0,14160.0,17715.0,18072.0,45.23654568210263,12022.0,0.8490112994350283,11710.0,0.8269774011299436
00660,15943.0,6255.0,19030.0,6937.0,43.511258859687636,4788.0,0.7654676258992805,4455.0,0.7122302158273381
00662,39700.0,13849.0,16834.0,21975.0,55.35264483627204,9688.0,0.6995450935085565,8935.0,0.6451729366741281
00664,14693.0,4878.0,14595.0,8848.0,60.219151977131965,3099.0,0.6353013530135302,2740.0,0.5617056170561706
00667,23186.0,7781.0,14013.0,14494.0,62.51186060553783,4604.0,0.5916977252281198,4385.0,0.563552242642334
00669,24803.0,9597.0,16922.0,13510.0,54.46921743337499,6276.0,0.6539543607377305,6080.0,0.6335313118682921
00670,8364.0,2680.0,14245.0,4167.0,49.820659971305595,2133.0,0.7958955223880597,1920.0,0.7164179104477612
00674,38971.0,14858.0,18299.0,18333.0,47.04267275666521,10594.0,0.7130165567371113,9780.0,0.6582312558890834
00676,36299.0,13425.0,14992.0,19599.0,53.99322295380038,9031.0,0.6727001862197393,8535.0,0.6357541899441341
00677,14093.0,5029.0,19943.0,5851.0,41.51706520967856,4217.0,0.8385364883674686,3625.0,0.7208192483595148
00678,25624.0,8811.0,17144.0,12588.0,49.12581954417733,7461.0,0.8467824310520939,6815.0,0.773464986948133
00680,45190.0,18364.0,14217.0,23342.0,51.653020579774285,11016.0,0.5998693095186234,9860.0,0.5369200609888913
00682,31735.0,11868.0,14706.0,17392.0,54.803844335906724,7309.0,0.6158577687900236,6660.0,0.5611729019211324
00683,29487.0,11067.0,16332.0,14770.0,50.08987011225286,7117.0,0.6430830396674799,6595.0,0.5959157856691063
00685,37058.0,13383.0,15185.0,19904.0,53.71039991364888,8723.0,0.6517970559665247,7730.0,0.5775984457894343
00687,30962.0,9645.0,20941.0,13879.0,44.82591563852464,8497.0,0.8809745982374287,7725.0,0.8009331259720062
00688,12139.0,4237.0,17874.0,6110.0,50.333635390065076,3082.0,0.7274014632995044,2865.0,0.676185980646684
00690,5722.0,2407.0,18288.0,2934.0,51.27577770010486,1716.0,0.7129206481096801,1655.0,0.6875778977980889
00692,35135.0,11330.0,20585.0,15357.0,43.708552725202786,9766.0,0.8619593998234775,8625.0,0.7612533097969991
00693,53360.0,19035.0,19576.0,24294.0,45.52848575712144,14691.0,0.7717888100866824,14050.0,0.738114000525348
00694,64.0,30.0,-666666666.0,19.0,29.6875,0.0,0.0,-666666666.0,-22222222.2
00698,35317.0,10926.0,14794.0,17183.0,48.65362290115242,7934.0,0.7261577887607542,7250.0,0.6635548233571298
00703,26097.0,8475.0,18846.0,12397.0,47.50354446871288,7925.0,0.9351032448377581,7100.0,0.8377581120943953
00704,8108.0,2724.0,17275.0,4406.0,54.34139121854958,2368.0,0.869309838472834,2320.0,0.8516886930983847
00705,22662.0,8527.0,20214.0,10010.0,44.17085870620422,6483.0,0.7602908408584497,6115.0,0.7171338102497947
00707,10721.0,3815.0,20760.0,4885.0,45.56477940490626,1909.0,0.5003931847968546,1765.0,0.46264744429882043
00714,17739.0,5899.0,17615.0,10471.0,59.02813010879982,3443.0,0.5836582471605357,3180.0,0.5390744193931175
00715,2818.0,1032.0,12188.0,1906.0,67.63662171753016,549.0,0.5319767441860465,520.0,0.5038759689922481
00716,27513.0,11060.0,17969.0,13360.0,48.558863082906264,6687.0,0.6046112115732369,6160.0,0.5569620253164557
00717,16086.0,6759.0,12121.0,8897.0,55.308964316797216,3619.0,0.5354342358337032,3130.0,0.4630862553632194
00718,25430.0,7979.0,19372.0,11989.0,47.14510420762878,6670.0,0.8359443539290637,6345.0,0.7952124326356687
